id,category,text,label
1,IT_Malware,Добрый день! Ваше резюме показалось нам интересным. Мы ищем Senior Backend разработчика. Описание проекта и тестовое задание в архиве (пароль 123):,1
2,IT_Malware,"Привет! Я видел твой коммит в репо. У меня похожая проблема, но твой фикс ломает билд на Windows. Можешь глянуть логи? Я выгрузил сюда:",1
3,IT_Malware,Здравствуйте. Нужно написать парсер для сайта. ТЗ и примеры структуры данных тут:,1
4,IT_Malware,"Привет, извини, что в личку. Я новичок, пытаюсь запустить твой проект с Гитхаба, но вылетает ошибка зависимостей. Скриншот ошибки прикрепил:",1
5,IT_Malware,"Привет! Мы инди-команда, делаем игру на Unity. Ищем тестеров. Скачай билд, побегай 5 минут, платим 50$. Ссылка на",1
6,IT_Malware,"Слушай, у нас прод упал, сисадмин недоступен. Ты вроде шаришь в Docker? Глянь конфиг, там похоже ошибка в ямле:",1
7,IT_Malware,Слили базу данных конкурентов. Хочешь глянуть? Там хеши паролей и почты. Ссылка временная:,1
8,IT_Malware,"Я написал либу для удобной работы с Telegram API, работает быстрее Pyrogram. Зацени: -repo/",1
9,IT_Malware,"Привет, мне посоветовали тебя как крутого дизайнера. Нужно сделать лендинг в таком стиле. Референсы собрал в кучу:",1
10,IT_Malware,"Мы готовы предложить тебе $5000. Договор NDA во вложении, подпиши и пришли скан.",1
11,Crypto_Scam,"Нашел скрипт, который автоматически клеймит аирдропы. Запускать через . Вот код в архиве.",1
12,IT_Malware,"Заказчик прислал правки по проекту, там много. Посмотри таблицу:",1
13,IT_Malware,"Коллега, нужно обновить SSL сертификаты на сервере разработки. Прислал новые ключи в архиве.",1
14,IT_Malware,Тебе открыли доступ к репозиторию GitLab. Инструкция по подключению VPN ключа:,1
15,IT_Malware,Спикеры скинули презентации. Твоя тема там тоже затронута.,1
16,Crypto_Scam,Привет! Я представляю NFT коллекцию. Хотим заказать у тебя арт. Готовы заплатить 2 ETH авансом. ТЗ тут:,1
17,Crypto_Phishing,Для исправления ошибки транзакции вам нужно синхронизировать кошелек через dApp протокол. Перейдите на,1
18,Crypto_Scam,Запускаем новую L2 сеть. Нужны нодеры. Установи клиент и получишь ретродроп. Ссылка на GitHub с клиентом.,1
19,Crypto_Social,"Привет, нужно обменять 50k USDT на наличные в Москве. Гарант с форума, комиссию беру на себя. Создавай чат.",1
20,Crypto_Drainer,✅ Ваш кошелек прошел квалификацию на получение токенов LayerZero. Клейм доступен 24 часа:,1
21,Crypto_Phishing,"Срочно! Найден уязвимый контракт, к которому ты давал аппрув. Срочно отзови разрешения здесь:",1
22,Crypto_Social,"Потерял доступ к старому кошельку, там лежит 1000 USDT. Кто поможет восстановить? Вот сид фраза: apple chair ...",1
23,Crypto_Malware,"Продаю софт, который выкупает токены на листинге быстрее всех. Даю триал на 1 день.",1
24,Crypto_Social,"Есть связка Турция-Россия, спред 3%. Крутим через Binance. Нужен партнер с картой не РФ. Пиши, научу.",1
25,Crypto_Scam,Принимаем в пул ликвидности. Доходность 1% в день фиксированно. Смарт-контракт прошел аудит.,1
26,Crypto_Social,"Привет, продаешь USDT? Готов купить по курсу выше рынка, кидаю деньги первым на Тинькофф. Но нужно, чтобы ты показал наличие крипты через демонстрацию экрана.",1
27,Crypto_Scam,Приватный раунд токенсейла TON coin 2.0. Только для участников закрытого чата. Адрес контракта для отправки TON: EQD...,1
28,Crypto_Phishing,"Ищем Community Manager в DAO. Зарплата в USDC. Чтобы подтвердить, что ты не бот, привяжи кошелек на нашем сайте.",1
29,Crypto_Malware,"Вышло обновление MetaMask Mobile с поддержкой Bitcoin. Скачай APK файл напрямую, в Google Play еще нет.",1
30,Social_Eng,Давай через гаранта @Garant_Service_Official (фейк).,1
31,TG_Phishing,"🎁 Вам отправлен подарок: Telegram Premium (12 месяцев). Нажмите, чтобы активировать:",1
32,TG_Phishing,Поздравляем! Вы выиграли 500 TON в честь обновления Wallet. Заберите приз в официальном боте: @wallet_ton_giveaway_bot,1
33,TG_Phishing,"Привет! Проголосуй пожалуйста за меня в конкурсе, я там под номером 3. Ссылка:",1
34,TG_Phishing,"Saved Messages: Обнаружена подозрительная активность. Пройдите верификацию, иначе аккаунт будет заблокирован.",1
35,TG_Phishing,"Уважаемый пользователь, ваш аккаунт попал в базу на удаление из-за спама. Если это ошибка, подтвердите владение по ссылке.",1
36,TG_Phishing,"Привет! Я тебе подарил подписку Премиум, тебе пришло уведомление? Странно, посмотри тут:",1
37,Crypto_Phishing,Ваш адрес TON Space нужно верифицировать для соответствия новым правилам AML. Ссылка:,1
38,TG_Phishing,Хочешь такой же анимированный пак стикеров? Добавь себе бесплатно:,1
39,TG_Phishing,"Заявка на вступление в канал 'Инсайды Крипта' одобрена. Для входа подтвердите, что вы человек: @captcha_bot_fake",1
40,TG_Phishing,"Привет, я админ чата. Ты нарушил правила (флуд). Я должен тебя забанить, но можем договориться. Перейди в бота техподдержки.",1
41,TG_Phishing,Пользователь ID:48291 отправил вам 'Star Gift'. Конвертировать в TON:,1
42,Social_Eng,"Слушай, это не твои фотки в закрытом канале 'Шкуры твоего города' выложили? Ссылка:",1
43,TG_Phishing,Экспорт переписки готов. Скачать архив:,1
44,Social_Eng,"База данных номеров. Узнай, как ты записан у друзей. Бот: @GetContact_Fake_Bot",1
45,Social_Eng,"Привет, мы познакомились на конференции в Дубае? Ой, ошиблась номером. Но ты выглядишь милым.",1
46,Social_Eng,Здравствуйте! Я редактор портала TechCrunch. Хотим взять у вас интервью. Заполните бриф (файл .exe),1
47,Social_Eng,"Добрый день, хотим купить рекламу в вашем канале. Бюджет 500к рублей. Наш медиакит и условия тут:",1
48,Social_Eng,"Здравствуйте. В вашем канале размещен контент, нарушающий мои авторские права. Досудебная претензия во вложении.",1
49,Crypto_Social,"Слушай, я тебе случайно на Binance перевел лишние 50 баксов. Можешь вернуть? Вот хеш транзакции.",1
50,Social_Eng,"Привет! Нашел телефон на улице, в контактах ты записан как 'Брат'. Как вернуть владельцу?",1
